timestamp,LinearAccelerometerSensor,AccX,AccY,AccZ
1770765812668,,,,-4.462050437927246
1770765812669,,2.533050060272217,-7.440000534057617,
1770765812697,3.884256320898876,4.747950077056885,-7.000950336456299,-0.6600000262260437
1770765812728,,7.939950466156006,-7.686000347137451,-0.05700000375509262
1770765812754,,,,-1.287000060081482
1770765812755,4.52203716417012,7.3309502601623535,-7.53795051574707,
1770765812783,,6.2059502601623535,-7.849050521850586,-1.3930500745773315
1770765812815,,6.916950225830078,-4.945050239562988,-2.1450002193450928
1770765812816,1.7345477868692063,,,
1770765812833,,,,-5.278950214385986
1770765812834,,8.847000122070312,-6.0319504737854,
1770765812888,,,,-2.359950065612793
1770765812889,,,,-2.69100022315979
1770765812891,,5.473950386047363,-6.274050235748291,
1770765812895,2.9078192627268047,7.123050212860107,-3.1710002422332764,-6.094950199127197
1770765812953,,,-4.401000022888184,-7.4239501953125
1770765812954,,6.237000465393066,,
1770765812955,4.938434367558766,8.315999984741211,-2.1979501247406006,-7.234950542449951
1770765812984,,9.355050086975098,-2.4000000953674316,-6.684000492095947
1770765812999,,8.337000846862793,-4.147050380706787,-4.584000110626221
1770765813017,,5.1220502853393555,-3.891000270843506,-3.1600501537323
1770765813018,2.8953324211740457,,,
1770765813046,,4.6620001792907715,-5.509950160980225,-3.2410502433776855
1770765813078,,,-6.151050090789795,-4.723050117492676
1770765813079,,7.966050148010254,-7.260000228881836,
1770765813080,3.3481521862265744,,,
1770765813108,,,,-1.456950068473816
1770765813109,,10.332000732421875,-8.610000610351562,
1770765813162,,,-6.22605037689209,-0.7630500197410583
1770765813163,1.3479331354061819,9.472050666809082,,
1770765813177,,4.645050048828125,-8.086050033569336,-2.7619500160217285
1770765813219,,,,-5.719050407409668
1770765813220,2.8618706823492626,7.399050235748291,-6.604050159454346,-5.608950138092041
1770765813249,,6.988950252532959,-5.998050212860107,-4.138950347900391
1770765813274,,5.3110504150390625,-8.731950759887695,-2.0749499797821045
1770765813279,,,,-0.5670000314712524
1770765813280,4.200158870053775,7.474950313568115,-7.768050193786621,
1770765813309,,13.530000686645508,-2.1889500617980957,-0.7300500273704529
1770765813329,,13.405950546264648,-2.40405011177063,-8.27400016784668
1770765813340,,,-1.9350000619888306,-2.5540502071380615
1770765813341,10.686307070895753,6.067050457000732,,
1770765813382,,6.51300048828125,-7.260000228881836,-3.5500502586364746
1770765813422,,,,-6.50700044631958
1770765813423,,,,-6.6409502029418945
1770765813424,4.912828056893662,10.603950500488281,-4.435050010681152,
1770765813454,,9.55305004119873,-5.524050235748291,-4.41195011138916
1770765813483,,,,-4.788000106811523
1770765813484,1.408689671454196,8.055000305175781,-5.160000324249268,
1770765813513,,,-4.807950019836426,-5.491950035095215
1770765813514,,5.410950183868408,,
1770765813542,,,-9.412050247192383,-3.5400002002716064
1770765813543,3.2831514208079295,5.971950054168701,,
1770765813579,,6.240000247955322,,
1770765813603,,,,-0.028050001710653305
1770765813604,5.717630579049032,3.5440502166748047,-5.3710503578186035,-4.558050155639648
1770765813646,,,-8.553000450134277,0.8520000576972961
1770765813647,,4.116000175476074,-8.311050415039062,
1770765813685,,,,-3.3030002117156982
1770765813686,,3.0240001678466797,-6.163050174713135,-4.194000244140625
1770765813687,2.380491333101004,,,
1770765813714,,,,-4.594050407409668
1770765813715,,7.630950450897217,-3.727950096130371,
1770765813748,,7.906050205230713,-5.719950199127197,-5.049000263214111
1770765813749,5.615039059103143,,,
1770765813778,,5.794050216674805,-4.750950336456299,-5.773950099945068
1770765813806,,11.122050285339355,-3.388050079345703,-6.643050193786621
1770765813807,4.165208383318276,,,
1770765813846,,,,-7.395000457763672
1770765813847,,8.052000045776367,-3.0700502395629883,
1770765813867,,,,-3.295950174331665
1770765813868,1.8745249464319038,6.642000198364258,-7.207050323486328,
1770765813913,,8.272050857543945,-5.194050312042236,-1.9750500917434692
1770765813933,,8.176950454711914,-5.922000408172607,-0.44700002670288086
1770765813947,2.5948270836404763,8.569050788879395,-7.140000343322754,-1.3159500360488892
1770765813980,,6.697050094604492,-3.0289502143859863,-4.089000225067139
